id,userId,guildId,fishKey,quantity
"cmsv9vp6a00jppuei47ytl50z","1527094211176828951","1502898258610225304","betta_fogo","1"
"cmsuyeenz00sg13ttbc3fgv8a","1500211290403242176","1502898258610225304","betta_fogo","1"
"cmt0bxzi201nb81m1xmyd4e5e","1524148278277439629","1502898258610225304","peixe_comum","1"
"cmskhw9nv00nglc97vadjhmoi","1510415733950255124","1502898258610225304","sardinha","0"
"cmskn3qq7000yfdfwvrgv5bex","1529653032810184772","1502898258610225304","peixe_comum","1"
"cmsxwc3js004i25a252jy7372","1534661961000816785","1514852775068962897","polvo_rosa","0"
"cmsu05kid03tqe9k387cb0cpc","1500211290403242176","1502898258610225304","peixe_comum","9"
"cmsuoedpv003a13ttaq9sddp4","1520850000006086858","1502898258610225304","betta_fogo","0"
"cmsy7plxy0152dwwg4yfxmzim","1534661961000816785","1514852775068962897","lagosta_espinhosa","0"
"cmsy7nc1d012pdwwgiif06rru","1534661961000816785","1514852775068962897","peixe_comum","0"
"cmsunb21p000x13tt7dm7o5rw","1527094211176828951","1514852775068962897","betta_fogo","1"
"cmspjqnuk04kyxzfuh3107re8","1496705193008435292","1502898258610225304","peixe_comum","0"
"cmskvpf8y012xfdfwstqeb7bp","1522568928487014451","1502898258610225304","peixe_comum","1"
"cmsrwiu820065vr1rr2uw7ixs","1522042036956561438","1502898258610225304","peixe_comum","1"
"cmsuxuea200nw13ttcxnirw2j","1510415733950255124","1502898258610225304","betta_fogo","0"
"cmskn2jds0005fdfw2t0zz9j6","1527094211176828951","1502898258610225304","peixe_comum","2"
"cmsv9f3xl00etpueileug753g","1520850000006086858","1502898258610225304","carpa_lendaria","0"
"cmsuna9ai000b13ttoxdy7crk","1527094211176828951","1514852775068962897","marlin_neon","2"
"cmsuw13on00fg13ttkz7juval","1520850000006086858","1502898258610225304","piranha_rubra","0"
"cmsu0g2z803vve9k3ayu6duo6","1500211290403242176","1502898258610225304","escama_lendaria","1"
"cmsyusq8w0096wrttgpb68zbb","1527094211176828951","1502898258610225304","estrela_do_mar","0"
"cmsnqjfzs009dxzfutxnktu6u","1527094211176828951","1514852775068962897","peixe_comum","12"
"cmsuxx75q00pb13tti74xrgyw","1520850000006086858","1502898258610225304","marlin_neon","0"
"cmsqesrhz002rjfaei59fjwpe","1531596176783052818","1502898258610225304","peixe_comum","1"
"cmsuxjp5300k213ttdpdgkm4w","1510415733950255124","1502898258610225304","piranha_rubra","0"
"cmsvaz8py00p8puei2lahmxju","1500211290403242176","1502898258610225304","piranha_rubra","1"
"cmsv5pdox019v13ttz8ujnzcx","1536006846337261748","1514852775068962897","peixe_comum","5"
"cmsjqrtm5008jlc97bqaytxmt","1527094211176828951","1502898258610225304","sardinha","0"
"cmsjp001h00gj70hemeiwywlj","1527094211176828951","1502898258610225304","carpa","0"
"cmsvzjvug0153puei5ivlkcqe","1496705193008435292","1502898258610225304","escama_lendaria","1"
"cmskvpn4h013bfdfw1k2wqfc8","1522568928487014451","1502898258610225304","carpa_lendaria","0"
